event_time,product_id,category_id,user_id,rating
2019-10-31 23:53:18 UTC,1,1,1,3
2019-10-31 23:53:53 UTC,2,2,2,2
2019-10-31 23:54:33 UTC,3,3,3,1
2019-10-31 23:55:13 UTC,4,4,4,0
2019-10-31 23:55:21 UTC,5,5,5,2
2019-10-31 23:56:03 UTC,6,2,6,2
2019-10-31 23:56:53 UTC,7,2,7,2
2019-10-31 23:59:16 UTC,8,6,8,2
